,mse,mae,r2
RandomForest,35.073720833333326,4.782580343796712,0.42442992194899565
GradientBoosting,33.67864465900291,4.742884076837357,0.44732353242055223
XGBoost,35.19322204589844,4.764922618865967,0.422468900680542
